"Sector","Symbol"
"Finance","AAMC"
"Basic Industries","AAU"
,"ABE"
"Capital Goods","ACU"
"Technology","ACY"
"Health Care","ADK"
,"ADK-PA"
"Energy","AE"
"Consumer Services","AIII"
"Consumer Services","AINC"
"Capital Goods","AIRI"
"Basic Industries","AKG"
"Consumer Non-Durables","ALN"
"Basic Industries","ALO"
"Health Care","AMPE"
"Health Care","AMS"
"Health Care","APHB"
"Health Care","APT"
,"ARNC-P"
"Basic Industries","ASM"
"Health Care","AST"
,"ATEST"
"Health Care","ATNM"
"Basic Industries","AUMN"
"Miscellaneous","AUXO"
"Public Utilities","AWX"
"Health Care","AXN"
"Basic Industries","AXU"
"Basic Industries","BAA"
,"BCV"
,"BCV-PA"
"Consumer Services","BDL"
"Technology","BDR"
,"BFY"
"Consumer Services","BGI"
"Technology","BGSF"
"Finance","BHB"
,"BHV"
"Finance","BKJ"
,"BLE"
,"BLJ"
"Health Care","BPMX"
"Consumer Services","BRG"
,"BRG-PA"
,"BRG-PC"
,"BRG-PD"
"Energy","BRN"
"Basic Industries","BTG"
"Consumer Non-Durables","BTI"
"Miscellaneous","BTN"
"Health Care","BTX"
"Health Care","BVX"
,"BZM"
"Health Care","CANF"
"Consumer Non-Durables","CAW"
,"CCA"
"Consumer Durables","CCF"
,"CEF"
"Energy","CEI"
,"CET"
,"CEV"
,"CH"
,"CIK"
"Capital Goods","CIX"
"Energy","CKX"
,"CLM"
"Consumer Non-Durables","CMT"
"Health Care","CPHI"
"Public Utilities","CQH"
"Public Utilities","CQP"
,"CRF"
"Health Care","CRHM"
"Health Care","CRMD"
"Consumer Non-Durables","CRVP"
"Finance","CTO"
"Capital Goods","CUO"
"Health Care","CVM"
"Technology","CVR"
"Health Care","CVRS"
"Capital Goods","CVU"
"Consumer Services","DGSE"
,"DHY"
"Consumer Non-Durables","DIT"
"Consumer Non-Durables","DLA"
,"DMF"
"Basic Industries","DNN"
"Capital Goods","DPW"
"Consumer Durables","DSS"
"Health Care","DXR"
,"EAD"
,"ECF"
"Public Utilities","EGAS"
"Basic Industries","EGI"
,"EIA"
,"EIM"
,"EIO"
,"EIP"
,"EIV"
"Public Utilities","ELLO"
"Health Care","ELMD"
"Technology","EMAN"
,"EMI"
,"EMJ"
"Basic Industries","EMX"
"Energy","ENRJ"
"Energy","ENSV"
,"ENX"
"Energy","EPM"
,"ERC"
,"ERH"
"Energy","ERN"
"Public Utilities","ESNC"
"Capital Goods","ESP"
"Finance","EVBN"
"Consumer Services","EVI"
,"EVJ"
,"EVM"
,"EVO"
,"EVP"
,"EVV"
,"EVY"
,"FAX"
,"FCO"
,"FEN"
"Energy","FPP"
"Capital Goods","FRD"
"Basic Industries","FSI"
"Consumer Services","FSP"
,"FTF"
"Energy","GBR"
"Energy","GDP"
,"GGN"
,"GGN-PB"
,"GGO"
,"GGO-PA"
,"GLO"
"Public Utilities","GLOW"
,"GLQ"
,"GLU"
,"GLU-PA"
,"GLV"
"Basic Industries","GMO"
"Basic Industries","GORO"
"Basic Industries","GPL"
,"GRF"
"Consumer Services","GSAT"
"Technology","GSB"
"Basic Industries","GSS"
"Energy","GST"
,"GST-PA"
,"GST-PB"
"Basic Industries","GSV"
"Energy","GTE"
"Basic Industries","GV"
"Technology","GVP"
"Health Care","HEB"
,"HLM-P"
"Health Care","HLTH"
"Consumer Services","HMG"
,"HNW"
"Public Utilities","HTM"
"Energy","HUSA"
,"IAF"
"Health Care","IBIO"
,"IBO"
"Technology","IDN"
"Technology","IEC"
,"IF"
"Finance","IFMI"
"Consumer Non-Durables","IGC"
"Consumer Services","IHT"
"Consumer Services","IMH"
"Energy","IMO"
"Health Care","IMUC"
"Health Care","INFU"
"Technology","INS"
"Capital Goods","INTT"
"Consumer Services","INUV"
"Consumer Services","IOT"
"Finance","IPB"
"Consumer Services","IRT"
"Miscellaneous","ISDR"
,"ISL"
"Health Care","ISR"
"Technology","JOB"
"Consumer Services","JRJR"
"Capital Goods","KIQ"
"Basic Industries","KLDX"
,"LAQ"
"Capital Goods","LBY"
"Basic Industries","LEU"
"Capital Goods","LGL"
"Technology","LIQT"
"Energy","LLEX"
"Public Utilities","LNG"
"Basic Industries","LODE"
"Miscellaneous","LOV"
"Finance","LTS"
,"LTS-PA"
,"MAB"
"Basic Industries","MAG"
"Energy","MCF"
,"MHE"
"Consumer Services","MHH"
"Health Care","MICR"
,"MIW"
"Technology","MJCO"
"Health Care","MLSS"
,"MMV"
"Consumer Services","MOC"
"Consumer Non-Durables","MSN"
"Health Care","MTNB"
,"MVF"
"Energy","MXC"
"Health Care","MYO"
,"MZA"
"Basic Industries","NAK"
"Health Care","NAVB"
,"NBH"
,"NBO"
,"NBW"
"Health Care","NBY"
"Consumer Services","NEN"
"Basic Industries","NG"
"Basic Industries","NGD"
"Health Care","NHC"
,"NHS"
,"NJV"
,"NML"
"Health Care","NNVC"
"Energy","NOG"
,"NPN"
,"NRO"
"Capital Goods","NSAT"
"Health Care","NSPR"
"Basic Industries","NSU"
"Technology","NTIP"
"Consumer Services","NTN"
"Basic Industries","NXE"
,"NYH"
"Health Care","OCX"
"Health Care","OGEN"
"Consumer Durables","ONP"
"Consumer Services","ORM"
"Energy","PARR"
,"PCG-PA"
,"PCG-PB"
,"PCG-PC"
,"PCG-PD"
,"PCG-PE"
,"PCG-PG"
,"PCG-PH"
,"PCG-PI"
"Energy","PED"
"Health Care","PFNX"
,"PHF"
"Basic Industries","PLG"
"Basic Industries","PLM"
"Health Care","PLX"
,"PLYM"
"Finance","PRK"
"Health Care","PTN"
"Consumer Services","PW"
,"PW-PA"
"Basic Industries","PZG"
,"RCG"
"Consumer Non-Durables","REED"
"Energy","REI"
,"RIF"
"Transportation","RLGT"
,"RLGT-PA"
"Health Care","RNN"
"Consumer Non-Durables","ROX"
"Health Care","RVP"
"Technology","RWC"
"Consumer Services","SACH"
"Basic Industries","SAND"
,"SBI"
,"SCE-PB"
,"SCE-PC"
,"SCE-PD"
,"SCE-PE"
"Energy","SDPI"
"Finance","SEB"
"Capital Goods","SENS"
"Consumer Services","SGA"
"Finance","SGB"
"Capital Goods","SIF"
"Basic Industries","SIM"
"Basic Industries","SKY"
"Energy","SNMP"
"Energy","SRCI"
"Energy","SSN"
